Company Name,Industry,Symbol,Series,ISIN Code
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING,BE,INE032A01023
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,EQ,INE752H01013
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Capital First Ltd.,FINANCIAL SERVICES,CAPF,EQ,INE688I01017
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,EQ,INE178A01016
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01017
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015
Delta Corp Ltd.,SERVICES,DELTACORP,EQ,INE124G01033
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,EQ,INE988K01017
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,EQ,INE545A01016
Hindustan Copper Ltd.,METALS,HINDCOPPER,EQ,INE531E01026
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
Infibeam Avenues Ltd.,IT,INFIBEAM,EQ,INE483S01020
Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,JISLJALEQS,EQ,INE175A01038
Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,EQ,INE455F01025
Jet Airways (India) Ltd.,SERVICES,JETAIRWAYS,EQ,INE802G01018
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,EQ,INE614B01018
Kec International Ltd.,CONSTRUCTION,KEC,EQ,INE389H01022
MMTC Ltd.,SERVICES,MMTC,EQ,INE123F01029
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020
NCC Ltd.,CONSTRUCTION,NCC,EQ,INE868B01028
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,EQ,INE141A01014
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
Rain Industries Ltd,CHEMICALS,RAIN,BE,INE855B01025
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,EQ,INE027A01015
Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014
Reliance Communications Ltd.,TELECOM,RCOM,EQ,INE330H01018
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,EQ,INE612J01015
SREI Infrastructure Finance Ltd.,FINANCIAL SERVICES,SREINFRA,EQ,INE872A01014
Shipping Corporation of India Ltd.,SERVICES,SCI,EQ,INE109A01011
Sintex Plastics Technology Ltd.,INDUSTRIAL MANUFACTURING,SPTL,EQ,INE501W01021
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023
Syndicate Bank,FINANCIAL SERVICES,SYNDIBANK,EQ,INE667A01018
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012
